"unitid","institution name","year","IC2015.Religious affiliation","DRVHR2015.Average salary equated to 9 months of full-time instructional staff - all ranks","DRVGR2015.Graduation rate - Bachelor degree within 6 years, total","DRVADM2015.Percent admitted - total","DRVADM2015.Admissions yield - total","ADM2015.SAT Critical Reading 25th percentile score","ADM2015.SAT Critical Reading 75th percentile score","ADM2015.SAT Math 25th percentile score","ADM2015.SAT Math 75th percentile score","ADM2015.ACT Composite 25th percentile score","ADM2015.ACT Composite 75th percentile score","F1415_F2.Total expenses","F1415_F2.Instruction-Total amount","F1415_F2.Value of endowment assets at the end of the fiscal year"
"100812","Athens State University","2015","Not applicable","71289",,,,,,,,,,,,
"100937","Birmingham Southern College","2015","United Methodist","63702","61","53","23","480","590","500","610","23","29","46698916","13956699","61011062"
"101073","Concordia College Alabama","2015","Lutheran Church - Missouri Synod","50445","10","40","21",,,,,,,"11817318","3092385","1494048"
"101116","South University-Montgomery","2015","Not applicable","40014","0",,,,,,,,,,,
"101435","Huntingdon College","2015","United Methodist","53199","41","58","24","440","550","450","568","19","23","20715387","6524527","48278643"
"101541","Judson College","2015","Baptist","49905","41","63","31","480","560","400","660","19","25","9724333","3072365","15369581"
"101675","Miles College","2015","Christian Methodist Episcopal","39033","20",,,,,,,,,"28787609","8203934","19080999"
"101693","University of Mobile","2015","Southern Baptist","45252","45","61","40","430","540","420","580","19","25","29100111","9683330","21797072"
"101912","Oakwood University","2015","Seventh Day Adventist","39951","42","47","36","410","540","380","500","17","22","52219973","14254321","12667552"
"102234","Spring Hill College","2015","Roman Catholic","56502","53","41","14","495","600","490","605","22","27","43394034","10299287","21572324"
"102270","Stillman College","2015","Presbyterian Church (USA)","42930","23","57","10","350","480","320","450","14","21","23027523","3596799","16981240"
"102298","Talladega College","2015","United Church of Christ","46674","37",,,,,,,,,"16238504","3482890","3472095"
"104090","Brookline College-Phoenix","2015","Not applicable","52569","18",,,,,,,,,,,
"104586","Embry-Riddle Aeronautical University-Prescott","2015","Not applicable","76626","59","79","39",,,,,,,,"25707300","26213004"
"105899","Arizona Christian University","2015","Undenominational","46395","38","51","49","430","560","473","550","19","23","14408293","3615750","1896178"
"106342","Lyon College","2015","Presbyterian Church (USA)","56493","38","59","22","500","600","490","580","22","27","20484641","6131480","45031570"
"106412","University of Arkansas at Pine Bluff","2015","Not applicable","52155","26","46","33","380","500","400","500","16","20",,,
"106713","Central Baptist College","2015","Baptist","47196","33","47","65","488","508","407","445","18","23","10289523","2873656","2764070"
"107080","Hendrix College","2015","United Methodist","66609","68","82","28","540","680","580","660","25","32","55740069","18118197","185541373"
"107512","Ouachita Baptist University","2015","Southern Baptist","56043","65","68","34","470","610","470","630","21","28","41606500","14084420","89155992"
"107558","University of the Ozarks","2015","Presbyterian Church (USA)","42048","43","97","29","420","540","430","520","20","25","19718708","6119321","98341080"
"107600","Philander Smith College","2015","United Methodist","42966","40",,,,,,,,,"17484675","3718444","10947268"
"107877","Williams Baptist College","2015","Southern Baptist","49185","41","64","35",,,,,"19","24","8480488","3074024","12862407"
"108092","University of Arkansas-Fort Smith","2015","Not applicable","59202","24","56","54",,,,,,,,,
"111188","California State University Maritime Academy","2015","Not applicable","76689","58","66","28",,,,,,,,,
"112084","San Diego Christian College","2015","Undenominational","54927","30","52","49","403","528","410","510","17","23","16741666","5733306","656599"
"112260","Claremont McKenna College","2015","Not applicable","119430","92","11","44","670","750","670","780","29","33","103871000","36733000","733871000"
"112394","Cogswell College","2015","Not applicable","67536","33","61","52",,,,,,,,,
"115409","Harvey Mudd College","2015","Not applicable","116856","92","13","40","670","760","730","800","32","35","60657444","25934363","288995887"
"115773","Humphreys University-Stockton and Modesto Campuses","2015","Not applicable","54189","80",,,,,,,,,"9807727","3316441","198396"
"116846","American Jewish University","2015","Jewish","67077","68","80","24",,,,,,,"22932628","3938984","22559067"
"118541","Marymount California University","2015","Roman Catholic","71820",,,,,,,,,,"29852685","7628749","9754899"
"120254","Occidental College","2015","Not applicable","97965","88","45","20","600","690","600","690","28","31","111987735","39820748","392166640"
"120865","Pacific Union College","2015","Seventh Day Adventist","54828","44","45","27","420","560","430","570","18","23","49755915","13941078","24915449"
"121257","Pitzer College","2015","Not applicable","96066","90","13","47",,,,,,,"57339677","27092811","132710135"
"121345","Pomona College","2015","Not applicable","113796","94","10","48","670","760","690","770","30","34","157134000","61176000","2098703000"
"122728","William Jessup University","2015","Other Protestant","62352","55","76","37","450","575","440","560","18","25","28039086","7716006","1642670"
"123165","Scripps College","2015","Not applicable","100980","92","28","38","650","730","630","718","29","32","61204238","29779443","305249606"
"124292","Thomas Aquinas College","2015","Roman Catholic","84294","89","75","56","610","730","550","650","28","31","16797206","5346581","16848781"
"125727","Westmont College","2015","Not applicable","63522","77","81","20","520","650","530","650","23","29","56698008","21381981","82837762"
"125763","Whittier College","2015","Not applicable","80163","66","63","14","463","580","470","590","20","26","74849499","30421680","97284299"
"126678","Colorado College","2015","Not applicable","95796","87","17","42",,,,,,,"129573462","48638530","687387738"
"127185","Fort Lewis College","2015","Not applicable","63702","40","86","30","460","550","450","580","19","24",,,
"127556","Colorado Mesa University","2015","Not applicable","59481","37","83","38","430","540","430","540","17","23",,,
"127680","National American University-Colorado Springs","2015","Not applicable","33660","100",,,,,,,,,,,
"128328","United States Air Force Academy","2015","Not applicable","77751","79","17","80","600","690","630","710","29","32",,,
"128780","Charter Oak State College","2015","Not applicable",,,,,,,,,,,,,
"128902","Connecticut College","2015","Not applicable","88497","83","40","23",,,,,,,"108755000","38951000",
"129774","Mitchell College","2015","Not applicable","63045","40","74","26",,,,,,,"20640927","3723325","8805679"
"130590","Trinity College","2015","Not applicable","93024","86","33","22",,,,,,,"145326212","56764789","572033549"
"130624","United States Coast Guard Academy","2015","Not applicable","74493","85","20","69","570","660","610","690","26","31",,,
"130697","Wesleyan University","2015","Not applicable","103770","94","22","35",,,,,,,"191795000","87361000","838774000"
"131098","Wesley College","2015","United Methodist","64206","20","63","19","370","470","370","470","14","19","33276754","10670916","6651765"
"132602","Bethune-Cookman University","2015","United Methodist","57870","32",,,,,,,,,"84914104","28166610","54718740"
"133492","Eckerd College","2015","Presbyterian Church (USA)","62901","65","72","15","500","610","500","600","23","28","71039137","28300655","55738899"
"133526","Edward Waters College","2015","African Methodist Episcopal","44028","20","54","14","350","430","330","455","14","18","22262209","3894373","1680649"
"133711","Flagler College-St Augustine","2015","Not applicable","56394","61","50","23","490","588","470","560","21","26","53072855","17624828","62030446"
"133979","Florida Memorial University","2015","Baptist","65322","39","24","31",,,,,,,"36060585","8098401","8405201"
"135610","Trinity International University-Florida","2015","Evangelical Free Church of America","60822",,,,,,,,,,"2774864","824652","325997"
"138275","Warner University","2015","Church of God","42606","36","51","71","380","470","390","490","17","20","18567351","3531787","6277675"
"138293","Webber International University","2015","Not applicable","38421","31","53","47","400","488","410","528","16","20","12822373","2041178","5085639"
"138600","Agnes Scott College","2015","Presbyterian Church (USA)","81117","68","62","30",,,,,,,"49773088","14070533","261455879"
"138868","Point University","2015","Christian Churches and Churches of Christ","54792","47","49","63","400","510","410","500","17","21","22344790","6473563","4169122"
"139205","Brewton-Parker College","2015","Baptist","33507","15",,,,,,,,,"9307109","2363810","7674723"
"139393","Covenant College","2015","The Presbyterian Church in America","66465","64","94","45","540","650","520","630","24","29","29012592","9725548","35879650"
"139630","Emmanuel College","2015","Pentecostal Holiness Church","45315","34","34","44","390","540","400","530",,,"16474740","3223253","16030"
"140234","LaGrange College","2015","United Methodist","53604","46","57","31","450","545","440","550","20","24","29153942","12519668","51768145"
"140340","Herzing University-Atlanta","2015","Not applicable","46305","20","85","31",,,,,,,,,
"140553","Morehouse College","2015","Not applicable","65223","51","76","34","440","550","430","550","18","23","83222567","23996399","135887327"
"140696","Oglethorpe University","2015","Not applicable","59112","53","78","15","530","630","510","600","22","28","25592157","9152259","31702970"
"140720","Paine College","2015","United Methodist","43920","22","31","11","330","420","310","410","14","17","20337230","9206015",
"140872","Reinhardt University","2015","United Methodist","49032","35","91","28","430","530","430","520","18","22","27126069","9581264","41629939"
"140988","Shorter University","2015","Baptist","46296","46","63","26","400","530","430","530","18","24","37480605","9401777","14767771"
"141060","Spelman College","2015","Not applicable","69102","76","48","23","470","570","450","550","20","23","93738255","27943209","362986405"
"141185","Toccoa Falls College","2015","Christ and Missionary Alliance Church","46638","46","45","43","440","570","420","520","18","26","20422204","4312762","2589313"
"141237","Truett McConnell University","2015","Southern Baptist","34533","34","91","47","428","510","410","510","18","22","14957500","4391620","5792626"
